2026-06-03 16:01:03,981 | INFO | framework | Execution started at 2026-06-03T16:01:03.980962
2026-06-03 16:01:04,207 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 16:01:04,347 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 16:01:21,880 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 8, 'failed': 2, 'pass_percent': 80.0}
2026-06-03 16:06:47,614 | INFO | framework | Execution started at 2026-06-03T16:06:47.614111
2026-06-03 16:06:47,815 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 16:06:47,978 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 16:07:05,415 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 9, 'failed': 1, 'pass_percent': 90.0}
2026-06-03 16:11:12,882 | INFO | framework | Execution started at 2026-06-03T16:11:12.879758
2026-06-03 16:11:13,143 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 16:11:13,296 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 16:11:30,798 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 10, 'failed': 1, 'pass_percent': 90.91}
2026-06-03 16:17:52,813 | INFO | framework | Execution started at 2026-06-03T16:17:52.813682
2026-06-03 16:17:53,020 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 16:17:53,156 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 16:18:10,648 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 10, 'failed': 1, 'pass_percent': 90.91}
2026-06-03 16:23:51,710 | INFO | framework | Execution started at 2026-06-03T16:23:51.710799
2026-06-03 16:23:52,086 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 16:23:52,282 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 16:24:09,871 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 10, 'failed': 1, 'pass_percent': 90.91}
2026-06-03 16:26:13,958 | INFO | framework | Execution started at 2026-06-03T16:26:13.958224
2026-06-03 16:26:14,194 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 16:26:14,339 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-03 16:26:31,787 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 10, 'failed': 1, 'pass_percent': 90.91}
2026-06-03 19:08:46,231 | INFO | framework | Execution started at 2026-06-03T19:08:46.231559
2026-06-03 19:08:46,494 | INFO | framework | Auth token captured from tc_id=TC001 for channel=test
2026-06-03 19:08:46,668 | INFO | framework | Auth token captured from tc_id=TC_AUTH_IB for channel=ib
